,Time,Bathroom,Livingroom,Kitchen
0,21:05,[],[4],[]
1,21:10,[],[4],[]
2,21:15,[],[4],[]
3,21:20,[],[4],[]
4,21:25,[],[4],[]
5,21:30,[],[4],[]
6,21:35,[],[4],[]
7,21:40,[],[4],[]
8,21:45,[],[4],[]
9,21:50,[],[4],[]
10,21:55,[],[4],[]
11,22:00,[],[4],[]
12,22:05,[],[4],[]
13,22:10,[],[4],[]
14,22:15,[],[4],[]
15,22:20,[],[4],[]
16,22:25,[],[4],[]
17,22:30,[],[4],[]
18,22:35,[],[4],[]
19,22:40,[],[4],[]
20,22:45,[],[4],[]
21,22:50,[],[4],[]
22,22:55,[],[4],[]
23,23:00,[],[4],[]
24,23:05,[],[4],[]
25,23:10,[],[4],[]
26,23:15,[],[4],[]
27,23:20,[],[4],[]
28,23:25,[],[4],[]
29,23:30,[],[4],[]
30,23:35,[],[4],[]
31,23:40,[],[4],[]
32,23:45,[],[4],[]
33,23:50,[],[4],[]
34,23:55,[],[4],[]
35,00:00,[],[],[]
36,00:05,[],[],[]
37,00:10,[],[],[]
38,00:15,[],[],[]
39,00:20,[],[],[]
40,00:25,[],[],[]
41,00:30,[],[],[]
42,00:35,[],[],[]
43,00:40,[],[],[]
44,00:45,[],[],[]
45,00:50,[],[],[]
46,00:55,[],[],[]
47,01:00,[],[],[]
48,01:05,[],[],[]
49,01:10,[],[],[]
50,01:15,[],[],[]
51,01:20,[],[],[]
52,01:25,[],[],[]
53,01:30,[],[],[]
54,01:35,[],[],[]
55,01:40,[],[],[]
56,01:45,[],[],[]
57,01:50,[],[],[]
58,01:55,[],[],[]
59,02:00,[],[],[]
60,02:05,[],[],[]
61,02:10,[],[],[]
62,02:15,[],[],[]
63,02:20,[],[],[]
64,02:25,[],[],[]
65,02:30,[],[],[]
66,02:35,[],[],[]
67,02:40,[],[],[]
68,02:45,[],[],[]
69,02:50,[],[],[]
70,02:55,[],[],[]
71,03:00,[],[],[]
72,03:05,[],[],[]
73,03:10,[],[],[]
74,03:15,[],[],[]
75,03:20,[],[],[]
76,03:25,[],[],[]
77,03:30,[],[],[]
78,03:35,[],[],[]
79,03:40,[],[],[]
80,03:45,[],[],[]
81,03:50,[],[],[]
82,03:55,[],[],[]
83,04:00,[],[],[]
84,04:05,[],[],[]
85,04:10,[],[],[]
86,04:15,[],[],[]
87,04:20,[],[],[]
88,04:25,[],[],[]
89,04:30,[],[],[]
90,04:35,[],[],[]
91,04:40,[],[],[]
92,04:45,[],[],[]
93,04:50,[],[],[]
94,04:55,[],[],[]
95,05:00,[],[],[]
96,05:05,[],[],[]
97,05:10,[],[],[]
98,05:15,[],[],[]
99,05:20,[],[],[]
100,05:25,[],[],[]
101,05:30,[],[],[]
102,05:35,[],[],[]
103,05:40,[],[],[]
104,05:45,[],[],[]
105,05:50,[],[],[]
106,05:55,[],[],[]
107,06:00,[],[],[]
108,06:05,[],[],[]
109,06:10,[],[],[]
110,06:15,[],[],[]
111,06:20,[],[],[]
112,06:25,[],[],[]
113,06:30,[],[],[]
114,06:35,[],[],[]
115,06:40,[],[],[]
116,06:45,[],[],[]
117,06:50,[],[],[]
118,06:55,[],[],[]
119,07:00,[],[],[]
120,07:05,[],[],[]
121,07:10,[],[],[]
122,07:15,[],[],[]
123,07:20,[],[],[]
124,07:25,[],[],[]
125,07:30,[],[],[]
126,07:35,[],[],[]
127,07:40,[],[],[]
128,07:45,[],[],[]
129,07:50,[],[],[]
130,07:55,[],[],[]
131,08:00,[],[],[]
132,08:05,[],[],[]
133,08:10,[],[],[]
134,08:15,[],[],[]
135,08:20,[],[],[]
136,08:25,[],[],[]
137,08:30,[],[],[]
138,08:35,[],[],[]
139,08:40,[],[],[]
140,08:45,[],[],[]
141,08:50,[],[],[]
142,08:55,[],[],[]
143,09:00,[],[],[]
144,09:05,[],[],[]
145,09:10,[],[],[]
146,09:15,[],[],[]
147,09:20,[],[],[]
148,09:25,[],[],[]
149,09:30,[],[],[]
150,09:35,[],[],[]
151,09:40,[],[],[]
152,09:45,[],[],[]
153,09:50,[],[],[]
154,09:55,[],[],[]
